GEOID,visits,prep,prep_idx,prep_w,device,max_wind,count_wind_21_33,max_rain,experienced_wind_33,experienced_rain_150,count_rain_70_150,max_rain,FIPS,PropertyDmgPerCapita,coastal_flag,coastal_flag_county,ida_ge_33
221090006001,24,p,1,0,49.0,33.9061391445891,3,189.8000030517578,2,2,2,189.8000030517578,22109,0.7674244,1,1,1
221090006003,54,p,1,0,78.0,34.2028908623588,3,184.20577976575365,2,2,2,184.20577976575365,22109,0.7674244,1,1,1
221090006004,16,p,1,0,45.0,33.8776956980138,3,185.02976997152737,2,2,2,185.02976997152737,22109,0.7674244,1,1,1
221090006005,36,p,1,0,95.0,33.8916079899384,3,174.83325814252032,2,2,2,174.83325814252032,22109,0.7674244,1,1,1
221090007001,43,p,1,0,96.0,34.3334210691057,3,184.1317802552261,2,2,2,184.1317802552261,22109,0.7674244,1,1,1
221090007002,56,p,1,0,59.0,34.2258262686112,3,185.4608460216299,2,2,2,185.4608460216299,22109,0.7674244,1,1,1
221090007003,50,p,1,0,46.0,34.119587536977,3,186.1050715998205,2,2,2,186.1050715998205,22109,0.7674244,1,1,1
221090008001,61,p,1,0,92.0,34.2881950869862,3,188.3999938964844,2,2,2,188.3999938964844,22109,0.7674244,1,1,1
220710025031,4,p,1,0,11.0,30.1174095635884,5,108.41372220554328,1,1,4,108.41372220554328,22071,0.06577263,1,1,1
221090009005,44,p,1,0,124.0,34.2060937509675,3,179.13193176742044,2,2,2,179.13193176742044,22109,0.7674244,1,1,1
220710006062,5,p,1,0,63.0,30.3503262720673,5,87.30174350134583,1,1,3,87.30174350134583,22071,0.06577263,1,1,1
220710006063,8,p,1,0,67.0,30.3431046768448,5,87.37353820648515,1,1,3,87.37353820648515,22071,0.06577263,1,1,1
220710006073,12,p,1,0,82.0,30.3890691077513,5,87.95630700966171,1,1,3,87.95630700966171,22071,0.06577263,1,1,1
221090010002,27,p,1,0,81.0,33.431066658769,2,125.54854594669249,2,1,3,125.54854594669249,22109,0.7674244,1,1,1
221090010003,132,p,1,0,296.0,33.8650704553623,3,151.16732481772897,2,2,2,151.16732481772897,22109,0.7674244,1,1,1
221090011001,37,p,1,0,88.0,36.4836166645296,2,122.0999984741211,2,1,4,122.0999984741211,22109,0.7674244,1,1,1
220710006112,8,p,1,0,56.0,30.6233656954077,5,94.6031572829246,1,1,3,94.6031572829246,22071,0.06577263,1,1,1
220710006121,8,p,1,0,109.0,30.6499524635636,5,98.1999969482422,1,1,3,98.1999969482422,22071,0.06577263,1,1,0
220710006131,4,p,1,0,46.0,30.2476460652912,5,87.85664395672673,1,1,5,87.85664395672673,22071,0.06577263,1,1,1
220710025014,4,p,1,0,19.0,30.115574975926,5,108.6604119888988,1,1,4,108.6604119888988,22071,0.06577263,1,1,1
220710028001,16,p,1,0,9.0,30.0769949226864,5,105.63364005877844,1,1,5,105.63364005877844,22071,0.06577263,1,1,1
220710030002,4,p,1,0,26.0,30.1060963577636,5,118.52046709342233,1,1,5,118.52046709342233,22071,0.06577263,1,1,1
220710033011,16,p,1,0,38.0,30.04697798015,5,112.98699259351892,1,1,3,112.98699259351892,22071,0.06577263,1,1,1
220930402002,24,p,1,0,33.0,43.8097014457873,4,124.62018076401704,2,1,2,124.62018076401704,22093,0.29947926,1,1,1
220930407003,80,p,1,0,123.0,42.3888922928645,3,127.4000015258789,2,1,3,127.4000015258789,22093,0.29947926,1,1,1
220930402003,12,p,1,0,18.0,43.8728967545299,4,120.24908217024397,2,1,2,120.24908217024397,22093,0.29947926,1,1,1
220930404002,37,p,1,0,61.0,40.9357046138894,4,140.52500915527344,2,1,2,140.52500915527344,22093,0.29947926,1,1,1
221210202002,60,p,1,0,205.0,34.0442472805929,4,68.5999984741211,2,1,0,68.5999984741211,22121,0.36837128,0,0,1
220710006182,16,p,1,0,99.0,30.5992590926059,5,91.20335061532197,1,1,3,91.20335061532197,22071,0.06577263,1,1,1
